disease,month,cases,pop,days,inc_day,tmean,tmean1,anom0,anom1,pandemic
Salmonellosis,2017-07-01,219,8522244,31,0.0828950230600328,20.2285714285714,20.2714285714286,-0.62857142857143,1.11020408163265,FALSE
Campylobacteriosis,2017-08-01,1052,8522244,31,0.398198923557783,20.1571428571429,20.2285714285714,-0.0397959183673464,-0.62857142857143,FALSE
Salmonellosis,2017-08-01,408,8522244,31,0.154434563509102,20.1571428571429,20.2285714285714,-0.0397959183673464,-0.62857142857143,FALSE
Campylobacteriosis,2017-09-01,725,8522244,30,0.283571635201558,13.6714285714286,20.1571428571429,-2.1989010989011,-0.0397959183673464,FALSE
Salmonellosis,2017-09-01,294,8522244,30,0.114993187240356,13.6714285714286,20.1571428571429,-2.1989010989011,-0.0397959183673464,FALSE
Campylobacteriosis,2017-10-01,647,8522244,31,0.244899908309777,11.7142857142857,13.6714285714286,0.136263736263738,-2.1989010989011,FALSE
Salmonellosis,2017-10-01,196,8522244,31,0.0741891530582942,11.7142857142857,13.6714285714286,0.136263736263738,-2.1989010989011,FALSE
Campylobacteriosis,2017-11-01,557,8522244,30,0.217861242492783,5.31428571428571,11.7142857142857,-0.852747252747253,0.136263736263738,FALSE
Salmonellosis,2017-11-01,116,8522244,30,0.0453714616322493,5.31428571428571,11.7142857142857,-0.852747252747253,0.136263736263738,FALSE
Campylobacteriosis,2017-12-01,439,8522244,31,0.166168562207098,1.85714285714286,5.31428571428571,-1.34725274725275,-0.852747252747253,FALSE
Salmonellosis,2017-12-01,85,8522244,31,0.0321738673977296,1.85714285714286,5.31428571428571,-1.34725274725275,-0.852747252747253,FALSE
Campylobacteriosis,2018-01-01,556,8582905,31,0.20896752173032,5.14285714285714,1.85714285714286,2.90408163265306,-1.34725274725275,FALSE
Salmonellosis,2018-01-01,109,8582905,31,0.0409666544399369,5.14285714285714,1.85714285714286,2.90408163265306,-1.34725274725275,FALSE
Campylobacteriosis,2018-02-01,353,8582905,28,0.14688666433035,-0.171428571428571,5.14285714285714,-4.0469387755102,2.90408163265306,FALSE
Salmonellosis,2018-02-01,80,8582905,28,0.0332887624544703,-0.171428571428571,5.14285714285714,-4.0469387755102,2.90408163265306,FALSE
Campylobacteriosis,2018-03-01,344,8582905,31,0.129289258048975,4.5,-0.171428571428571,-2.26428571428571,-4.0469387755102,FALSE
Salmonellosis,2018-03-01,76,8582905,31,0.0285639058480294,4.5,-0.171428571428571,-2.26428571428571,-4.0469387755102,FALSE
Campylobacteriosis,2018-04-01,393,8582905,30,0.152628975853746,13.3,4.5,2.74591836734694,-2.26428571428571,FALSE
Salmonellosis,2018-04-01,73,8582905,30,0.0283509293570572,13.3,4.5,2.74591836734694,-2.26428571428571,FALSE
Campylobacteriosis,2018-05-01,580,8582905,31,0.217987702524435,15.4714285714286,13.3,1.50612244897959,2.74591836734694,FALSE
Salmonellosis,2018-05-01,112,8582905,31,0.0420941770392012,15.4714285714286,13.3,1.50612244897959,2.74591836734694,FALSE
Campylobacteriosis,2018-06-01,764,8582905,30,0.296713836010846,19.0285714285714,15.4714285714286,-0.132653061224492,1.50612244897959,FALSE
Salmonellosis,2018-06-01,102,8582905,30,0.0396136273208197,19.0285714285714,15.4714285714286,-0.132653061224492,1.50612244897959,FALSE
Campylobacteriosis,2018-07-01,1031,8582905,31,0.387491933280504,21.5714285714286,19.0285714285714,0.714285714285712,-0.132653061224492,FALSE
Salmonellosis,2018-07-01,140,8582905,31,0.0526177212990015,21.5714285714286,19.0285714285714,0.714285714285712,-0.132653061224492,FALSE
Campylobacteriosis,2018-08-01,1031,8582905,31,0.387491933280504,21.1,21.5714285714286,0.903061224489797,0.714285714285712,FALSE
Salmonellosis,2018-08-01,242,8582905,31,0.0909534896739883,21.1,21.5714285714286,0.903061224489797,0.714285714285712,FALSE
Campylobacteriosis,2018-09-01,741,8582905,30,0.287781351418896,17.0142857142857,21.1,1.14395604395604,0.903061224489797,FALSE
Salmonellosis,2018-09-01,173,8582905,30,0.0671878188872726,17.0142857142857,21.1,1.14395604395604,0.903061224489797,FALSE
Campylobacteriosis,2018-10-01,719,8582905,31,0.270229582957015,11.8142857142857,17.0142857142857,0.236263736263737,1.14395604395604,FALSE
